,Split1,Split2,Split3,Split4,Split5
0,0.039128050208091736,0.03583335131406784,0.018867027014493942,0.03443745896220207,0.02068801037967205
1,0.03258602321147919,0.03552306815981865,0.017962612211704254,0.03366093710064888,0.02024221234023571
2,0.026791058480739594,0.03523693606257439,0.017188027501106262,0.033012937754392624,0.019904378801584244
3,0.02179587259888649,0.03497777879238129,0.016524046659469604,0.03246867656707764,0.019646694883704185
4,0.017577720806002617,0.03474332019686699,0.015953563153743744,0.03201112896203995,0.01944850943982601
5,0.014080539345741272,0.03453120216727257,0.015462435781955719,0.0316261351108551,0.019294926896691322
6,0.011237118393182755,0.034339286386966705,0.015038806013762951,0.03130197152495384,0.019175110384821892
7,0.008977915160357952,0.0341656357049942,0.014672767370939255,0.031028874218463898,0.01908106915652752
8,0.007234902121126652,0.03400850668549538,0.014355973340570927,0.03079872392117977,0.019006915390491486
9,0.005943466909229755,0.03386632725596428,0.014081411994993687,0.030604617670178413,0.018948158249258995
10,0.005043320823460817,0.033737726509571075,0.013843169435858727,0.03044085018336773,0.018901437520980835
11,0.004478941205888987,0.033621348440647125,0.013636167161166668,0.03030267171561718,0.018864158540964127
12,0.004199736285954714,0.03351609408855438,0.013456156477332115,0.030185986310243607,0.018834341317415237
13,0.00416002469137311,0.033420857042074203,0.013299467042088509,0.030087383463978767,0.018810424953699112
14,0.004318896681070328,0.03333471342921257,0.013162974268198013,0.03000403754413128,0.018791208043694496
15,0.0046400027349591255,0.033256787806749344,0.013043961487710476,0.029933562502264977,0.018775729462504387
16,0.005091297905892134,0.03318629413843155,0.012940154410898685,0.0298739206045866,0.018763253465294838
17,0.0056447433307766914,0.033122528344392776,0.012849550694227219,0.029823390766978264,0.018753159791231155
18,0.006276018917560577,0.03306487947702408,0.012770417146384716,0.02978055365383625,0.018744997680187225
19,0.006964154541492462,0.033012717962265015,0.012701302766799927,0.029744209721684456,0.018738379701972008
20,0.007691298145800829,0.0329655259847641,0.012640883214771748,0.029713314026594162,0.018733002245426178
21,0.008442307822406292,0.032922856509685516,0.012588057667016983,0.029687048867344856,0.018728623166680336
22,0.009204545989632607,0.03288428485393524,0.012541858479380608,0.02966468781232834,0.018725046887993813
23,0.009967565536499023,0.032849378883838654,0.012501447461545467,0.02964557334780693,0.01872212067246437
24,0.01072279829531908,0.03281784802675247,0.012466071173548698,0.029629241675138474,0.01871972344815731
25,0.011463387869298458,0.03278930112719536,0.012435119599103928,0.029615214094519615,0.018717752769589424
26,0.012183902785182,0.03276350721716881,0.012408027425408363,0.029603194445371628,0.018716130405664444
27,0.012880229391157627,0.03274017572402954,0.01238427497446537,0.029592806473374367,0.01871478371322155
28,0.013549271039664745,0.032719094306230545,0.012363480404019356,0.02958380989730358,0.01871366985142231
29,0.014188826084136963,0.03270002081990242,0.012345246970653534,0.029576057568192482,0.018712740391492844
30,0.01479747798293829,0.032682739198207855,0.012329265475273132,0.02956930175423622,0.01871195249259472
31,0.015374436974525452,0.032667126506567,0.012315250001847744,0.02956339530646801,0.018711285665631294
32,0.015919454395771027,0.03265298157930374,0.012302926741540432,0.02955818921327591,0.018710725009441376
33,0.01643264852464199,0.03264017775654793,0.012292123399674892,0.02955363318324089,0.01871023140847683
34,0.01691453345119953,0.032628607004880905,0.01228263694792986,0.029549598693847656,0.018709808588027954
35,0.01736588589847088,0.03261812776327133,0.012274316512048244,0.029546022415161133,0.018709439784288406
36,0.01778765767812729,0.03260868042707443,0.012267004698514938,0.029542818665504456,0.018709123134613037
37,0.0181809701025486,0.032600145787000656,0.012260567396879196,0.029539963230490685,0.01870884746313095
38,0.01854703575372696,0.03259238228201866,0.012254901230335236,0.029537340626120567,0.0187086034566164
39,0.018887130543589592,0.032585348933935165,0.012249910272657871,0.029534999281167984,0.018708383664488792
40,0.019202619791030884,0.03257898613810539,0.01224549114704132,0.029532914981245995,0.01870819739997387
41,0.019494883716106415,0.03257321938872337,0.012241601012647152,0.029531002044677734,0.018708018586039543
42,0.019765229895710945,0.03256797790527344,0.01223816629499197,0.0295292679220438,0.018707865849137306
43,0.02001502923667431,0.032563257962465286,0.01223513763397932,0.029527653008699417,0.01870771311223507
44,0.020245542749762535,0.03255898132920265,0.01223244983702898,0.029526153579354286,0.018707580864429474
45,0.02045806124806404,0.03255511447787285,0.012230065651237965,0.029524758458137512,0.018707457929849625
46,0.02065376192331314,0.03255157917737961,0.012227948755025864,0.02952345833182335,0.018707336857914925
47,0.020833870396018028,0.032548390328884125,0.012226066552102566,0.0295222420245409,0.018707241863012314
48,0.020999467000365257,0.03254551440477371,0.012224400416016579,0.029521116986870766,0.018707143142819405
49,0.02115161530673504,0.0325428806245327,0.012222902849316597,0.029520075768232346,0.018707040697336197
